turn,is_correct,memory_mb
1,,117.75390625
2,,117.75390625
3,,117.75390625
4,,117.75390625
5,,117.75390625
6,,117.75390625
7,,117.75390625
8,,117.75390625
9,,117.75390625
10,,117.75390625
11,,117.75390625
12,,117.75390625
13,,117.75390625
14,,117.75390625
15,,117.75390625
16,,117.75390625
17,,117.75390625
18,,117.75390625
19,,117.75390625
20,,117.75390625
21,,117.75390625
22,,117.75390625
23,,117.75390625
24,,117.75390625
25,,117.75390625
26,,117.75390625
27,,117.75390625
28,,117.75390625
29,,117.75390625
30,,117.75390625
31,,117.75390625
32,,117.75390625
33,,117.75390625
34,,117.75390625
35,,117.75390625
36,,117.75390625
37,,117.75390625
38,,117.75390625
39,,117.75390625
40,,117.75390625
41,,117.75390625
42,,117.75390625
43,,117.75390625
44,,117.75390625
45,,117.75390625
46,,117.75390625
47,,117.75390625
48,,117.75390625
49,,117.75390625
50,,117.75390625
51,,117.75390625
52,,117.75390625
53,,117.75390625
54,,117.75390625
55,,117.75390625
56,,117.75390625
57,,117.75390625
58,,117.75390625
59,,117.75390625
60,,117.75390625
61,,117.75390625
62,,117.75390625
63,,117.75390625
64,,117.75390625
65,,117.75390625
66,,117.75390625
67,,117.75390625
68,,117.75390625
69,,117.75390625
70,,117.75390625
71,,117.75390625
72,,117.75390625
73,,117.75390625
74,,117.75390625
75,,117.75390625
76,,117.75390625
77,,117.75390625
78,,117.75390625
79,,117.75390625
80,,117.75390625
81,,117.75390625
82,,117.75390625
83,,117.75390625
84,,117.75390625
85,,117.75390625
86,,117.75390625
87,,117.75390625
88,,117.75390625
89,,117.75390625
90,,117.75390625
91,,117.75390625
92,,117.75390625
93,,117.75390625
94,,117.75390625
95,,117.75390625
96,,117.75390625
97,,117.75390625
98,,117.75390625
99,,117.75390625
100,,117.75390625
101,,117.75390625
102,,117.75390625
103,,117.75390625
104,,117.75390625
105,,117.75390625
106,,117.75390625
107,,117.75390625
108,,117.75390625
109,,117.75390625
110,,117.75390625
111,,117.75390625
112,,117.75390625
113,,117.75390625
114,,117.75390625
115,,117.75390625
116,,117.75390625
117,,117.75390625
118,,117.75390625
119,,117.75390625
120,,117.75390625
121,,117.75390625
122,,117.75390625
123,,117.75390625
124,,117.75390625
125,,117.75390625
126,,117.75390625
127,,117.75390625
128,,117.75390625
129,,117.75390625
130,,117.75390625
131,,117.75390625
132,,117.75390625
133,,117.75390625
134,,117.75390625
135,,117.75390625
136,,117.75390625
137,,117.75390625
138,,117.75390625
139,,117.75390625
140,,117.75390625
141,,117.75390625
142,,117.75390625
143,,117.75390625
144,,117.75390625
145,,117.75390625
146,,117.75390625
147,,117.75390625
148,,117.75390625
149,,117.75390625
150,,117.75390625
151,,117.75390625
152,,117.75390625
153,,117.75390625
154,,117.75390625
155,,117.75390625
156,,117.75390625
157,,117.75390625
158,,117.75390625
159,,117.75390625
160,,117.75390625
161,,117.75390625
162,,117.75390625
163,,117.75390625
164,,117.75390625
165,,117.75390625
166,,117.75390625
167,,117.75390625
168,,117.75390625
169,,117.75390625
170,,117.75390625
171,,117.75390625
172,,117.75390625
173,,117.75390625
174,,117.75390625
175,,117.75390625
176,,117.75390625
177,,117.75390625
178,,117.75390625
179,,117.75390625
180,,117.75390625
181,,117.75390625
182,,117.75390625
183,,117.75390625
184,,117.75390625
185,,117.75390625
186,,117.75390625
187,,117.75390625
188,,117.75390625
189,,117.75390625
190,,117.75390625
191,,117.75390625
192,,117.75390625
193,,117.75390625
194,,117.75390625
195,,117.75390625
196,,117.75390625
197,,117.75390625
198,,117.75390625
199,,117.75390625
200,,117.75390625
201,,117.75390625
202,,117.75390625
203,,117.75390625
204,,117.75390625
205,,117.75390625
206,,117.75390625
207,,117.75390625
208,,117.75390625
209,,117.75390625
210,,117.75390625
211,,117.75390625
212,,117.75390625
213,,117.75390625
214,,117.75390625
215,,117.75390625
216,,117.75390625
217,,117.75390625
218,,117.75390625
219,,117.75390625
220,,117.75390625
221,,117.75390625
