turn,fact,query,expected,frame
1,Data Point 1: The secure access code for Vault 1 is 1001.,None,None,Earth_Base
2,Data Point 2: The secure access code for Vault 2 is 1002.,None,None,Earth_Base
3,Data Point 3: The secure access code for Vault 3 is 1003.,None,None,Earth_Base
4,Data Point 4: The secure access code for Vault 4 is 1004.,None,None,Earth_Base
5,Data Point 5: The secure access code for Vault 5 is 1005.,None,None,Earth_Base
6,Data Point 6: The secure access code for Vault 6 is 1006.,None,None,Earth_Base
7,Data Point 7: The secure access code for Vault 7 is 1007.,None,None,Earth_Base
8,Data Point 8: The secure access code for Vault 8 is 1008.,None,None,Earth_Base
9,Data Point 9: The secure access code for Vault 9 is 1009.,None,None,Earth_Base
10,Data Point 10: The secure access code for Vault 10 is 1010.,None,None,Earth_Base
11,Data Point 11: The secure access code for Vault 11 is 1011.,None,None,Earth_Base
12,Data Point 12: The secure access code for Vault 12 is 1012.,None,None,Earth_Base
13,Data Point 13: The secure access code for Vault 13 is 1013.,None,None,Earth_Base
14,Data Point 14: The secure access code for Vault 14 is 1014.,None,None,Earth_Base
15,Data Point 15: The secure access code for Vault 15 is 1015.,None,None,Earth_Base
16,Data Point 16: The secure access code for Vault 16 is 1016.,None,None,Earth_Base
17,Data Point 17: The secure access code for Vault 17 is 1017.,None,None,Earth_Base
18,Data Point 18: The secure access code for Vault 18 is 1018.,None,None,Earth_Base
19,Data Point 19: The secure access code for Vault 19 is 1019.,None,None,Earth_Base
20,Data Point 20: The secure access code for Vault 20 is 1020.,None,None,Earth_Base
21,Data Point 21: The secure access code for Vault 21 is 1021.,None,None,Earth_Base
22,Data Point 22: The secure access code for Vault 22 is 1022.,None,None,Earth_Base
23,Data Point 23: The secure access code for Vault 23 is 1023.,None,None,Earth_Base
24,Data Point 24: The secure access code for Vault 24 is 1024.,None,None,Earth_Base
25,Data Point 25: The secure access code for Vault 25 is 1025.,None,None,Earth_Base
26,Data Point 26: The secure access code for Vault 26 is 1026.,None,None,Earth_Base
27,Data Point 27: The secure access code for Vault 27 is 1027.,None,None,Earth_Base
28,Data Point 28: The secure access code for Vault 28 is 1028.,None,None,Earth_Base
29,Data Point 29: The secure access code for Vault 29 is 1029.,None,None,Earth_Base
30,Data Point 30: The secure access code for Vault 30 is 1030.,None,None,Earth_Base
